product_id,name,category,price,stock,description
1,T-Shirt A,Clothing,25,100,"Cotton, Short Sleeve, Blue, Size M"
2,T-Shirt B,Clothing,30,150,"Polyester, Long Sleeve, Red, Size L"
3,T-Shirt C,Clothing,28,120,"Linen, V-neck, Green, Size S"
4,T-Shirt D,Clothing,32,110,"Cotton Blend, Crew Neck, Black, Size XL"
5,Jeans A,Clothing,50,80,"Slim Fit, Dark Wash, Stretch, Size 32"
6,Jeans B,Clothing,45,90,"Regular Fit, Light Wash, Size 30"
7,Jeans C,Clothing,55,70,"Skinny, Ripped, Blue, Size 28"
8,Jeans D,Clothing,52,65,"Straight, Black, Non-stretch, Size 34"
9,Jacket A,Clothing,120,50,"Leather, Black, Zipper, Size M"
10,Jacket B,Clothing,100,60,"Bomber, Green, Pockets, Size L"
11,Jacket C,Clothing,110,55,"Denim, Blue, Button-up, Size S"
12,Jacket D,Clothing,130,45,"Windbreaker, Red, Hooded, Size XL"
13,Sneakers A,Shoes,80,120,"White, Lace-up, Rubber Sole, Size 42"
14,Sneakers B,Shoes,75,110,"Black, Slip-on, Cushioned, Size 41"
15,Sneakers C,Shoes,90,100,"Running, Mesh, Gray, Size 43"
16,Sneakers D,Shoes,85,95,"High-top, Canvas, Navy, Size 40"
17,Socks A,Clothing,10,200,"Cotton, Ankle Length, White"
18,Socks B,Clothing,12,180,"Wool, Crew Length, Gray"
19,Socks C,Clothing,11,190,"Bamboo, No-show, Black"
20,Socks D,Clothing,13,175,"Sport, Moisture-wicking, Multicolor"
21,Hat A,Accessories,20,150,"Fedora, Wool, Brown"
22,Hat B,Accessories,18,140,"Baseball Cap, Cotton, Blue"
23,Hat C,Accessories,22,130,"Beanie, Knitted, Navy"
24,Hat D,Accessories,19,120,"Sun Hat, Straw, Beige"
25,Scarf A,Accessories,25,130,"Silk, Red, Lightweight"
26,Scarf B,Accessories,22,120,"Wool, Gray, Thick"
27,Scarf C,Accessories,28,110,"Cashmere, Light Pink"
28,Scarf D,Accessories,24,115,"Polyester, Patterned, Green"
29,Belt A,Accessories,30,100,"Leather, Black, Adjustable"
30,Belt B,Accessories,25,110,"Canvas, Brown, Adjustable"
31,Belt C,Accessories,28,95,"Elastic, Black, Slim"
32,Belt D,Accessories,32,90,"Braided, Tan, Leather"
33,Sunglasses A,Accessories,60,80,"Aviator, UV Protection, Metal Frame"
34,Sunglasses B,Accessories,55,90,"Round, Polarized, Plastic Frame"
35,Sunglasses C,Accessories,65,70,"Cat Eye, Gradient, Gold Frame"
